Time,Speed
0.0,1.7018932052153548
0.01,1.7018932052153548
0.02,1.7018932052153548
0.03,1.7018932052153548
0.04,1.7018932052153548
0.05,1.7018932052153548
0.06,1.7018932052153548
0.07,1.7018932052153548
0.08,1.7018932052153548
0.09,1.7018932052153548
0.1,1.7018932052153548
0.11,1.7018932052153548
0.12,1.7018932052153548
0.13,1.7018932052153548
0.14,1.7018932052153548
0.15,1.7018932052153548
0.16,1.7018932052153548
0.17,1.7018932052153548
0.18,1.7018932052153548
0.19,1.7018932052153548
0.2,1.7018932052153548
0.21,1.7018932052153548
0.22,1.7018932052153548
0.23,1.7018932052153548
0.24,1.7018932052153548
0.25,1.7018932052153548
0.26,1.7018932052153548
0.27,1.7018932052153548
0.28,1.7018932052153548
0.29,1.7018932052153548
0.3,1.7018932052153548
0.31,1.7018932052153548
0.32,1.7018932052153548
0.33,1.7018932052153548
0.34,1.7018932052153548
0.35000000000000003,1.7018932052153548
0.36,1.7018932052153548
0.37,1.7018932052153548
0.38,1.7018932052153548
0.39,1.7018932052153548
0.4,1.6295675288112812
0.41000000000000003,1.552606620007404
0.42,1.4756457112035275
0.43,1.4014067351128403
0.44,1.3283769333461655
0.45,1.2553471315794906
0.46,1.1828843338580786
0.47000000000000003,1.1115278982108592
0.48,1.0401714625636402
0.49,0.9688150269164209
0.5,0.8960874009004799
0.51,0.8233310460220602
0.52,0.7505746911436404
0.53,0.6866272212238631
0.54,0.6254798864157
0.55,0.5643325516075367
0.56,0.5032576855308205
0.5700000000000001,0.4461714749596494
0.58,0.38908526438847885
0.59,0.33199905381730765
0.6,0.27571661766976724
0.61,0.22582366308240479
0.62,0.17593070849504233
0.63,0.12603775390767988
0.64,0.07614479932031742
0.65,0.07950140951785832
0.66,0.09950822084628211
0.67,0.11951503217470591
0.68,0.13952184350312968
0.6900000000000001,0.17502412004855303
0.7000000000000001,0.2190639888546617
0.71,0.2631038576607699
0.72,0.3071437264668786
0.73,0.35118359527298726
0.74,0.3826872886987106
0.75,0.41418980235931474
0.76,0.4456923160199189
0.77,0.47719482968052296
0.78,0.508697343341127
0.79,0.5401998570017312
0.8,0.574470837613821
0.81,0.6098537309261156
0.8200000000000001,0.6452366242384102
0.8300000000000001,0.6806195175507048
0.84,0.716002410862999
