Time,Altitude
0.0,0.583318088412967
0.01,0.5583592376755565
0.02,0.5330929068889884
0.03,0.5075900529876833
0.04,0.481901359496228
0.05,0.4559729348778786
0.06,0.4297829375600788
0.07,0.40337752743096683
0.08,0.3773090264581102
0.09,0.355479187271228
0.1,0.337252210602424
0.11,0.2978481942517714
0.12,0.2622211460114924
0.13,0.23030786720167046
0.14,0.2021083578223056
0.15,0.1775625246772178
0.16,0.1565114117800535
0.17,0.1389550191308127
0.18,0.12492644652503582
0.19,0.1144127040108148
0.2,0.1072715689792213
0.21,0.10350332502335169
0.22,0.10326841916469878
0.23,0.10656980674858225
0.24,0.11343479533619653
0.25,0.12393167951862198
0.26,0.13811389222293785
0.27,0.15590973006526096
0.28,0.1767964890468258
0.29,0.19701696779596087
0.3,0.21657116631266624
0.31,0.23542318503611845
0.32,0.2537231775963228
0.33,0.27153434267319587
0.34,0.28876008655977053
0.35000000000000003,0.3053664772243363
0.36,0.32150503174198347
0.37,0.3371367280517059
0.38,0.35218542467141994
0.39,0.36669966431830214
0.4,0.3808216696012809
0.41000000000000003,0.39445685095323535
0.42,0.40760322655550063
0.43,0.420257841062757
0.44,0.4322807200755519
0.45,0.4436360494844716
0.46,0.4543238292895161
0.47000000000000003,0.4644139702706601
0.48,0.47386573423907646
0.49,0.4826791211947653
0.5,0.4908541311377266
0.51,0.4984164299116238
0.52,0.5052869668939365
0.53,0.5114657420846648
0.54,0.5170493491907754
0.55,0.5220806983950809
0.56,0.5264983730666664
0.5700000000000001,0.5303221913676579
0.58,0.5336282947801398
0.59,0.5364166833041117
0.6,0.5386460999486163
0.61,0.5403884027679243
0.62,0.5416455735807004
0.63,0.5424176123869449
0.64,0.5428171860249157
0.65,0.5428612963808125
0.66,0.5425499416842385
0.67,0.5418849145391021
0.68,0.540964879283882
0.6900000000000001,0.5397898359185783
0.7000000000000001,0.5383597844431909
0.71,0.5366283561767339
0.72,0.5346541689914492
0.73,0.5324372228873367
0.74,0.5299775178643967
0.75,0.527275053922629
0.76,0.5243700923803906
0.77,0.5212338606488374
0.78,0.5178663587279693
0.79,0.5142675866177865
0.8,0.5104788013092463
0.81,0.5064902779461624
0.8200000000000001,0.5021454532827774
0.8300000000000001,0.4974443273190915
0.84,0.4923869000551046
0.85,0.48703711356529816
0.86,0.481444599138981
0.87,0.4756093567761532
0.88,0.46953138647681475
0.89,0.4632106882409655
0.9,0.4566050689905853
0.91,0.44953925365788805
0.92,0.4420359757363424
0.93,0.4340952352259486
0.9400000000000001,0.42570849735387295
0.9500000000000001,0.41687130661630667
0.96,0.4076048183258072
0.97,0.3979570089700986
0.98,0.3879927141107634
0.99,0.37772269635698025
1.0,0.3671469557087491
1.01,0.35629794853510655
1.02,0.3452863960551262
1.03,0.33390117840654837
1.04,0.322142295589373
1.05,0.30996461775233297
1.06,0.29738767415268924
1.07,0.2844485976435982
1.08,0.2711473882250598
1.09,0.25748404589707397
1.1,0.24340770383462398
1.11,0.22896809841589208
1.12,0.2141652296408782
1.1300000000000001,0.1989990975095824
1.1400000000000001,0.18352360291860298
1.1500000000000001,0.16774332727092253
1.16,0.15165827056654094
1.17,0.13570697902649767
1.18,0.12078563524913177
1.19,0.10688347662526468
1.2,0.09400050315489636
1.21,0.08213561243059722
1.22,0.07132415816499213
1.23,0.061777260220340705
1.24,0.05349491859664294
1.25,0.04648072531142999
1.26,0.040689464568568944
1.27,0.03608400351490349
1.28,0.03266434215043364
1.29,0.030409399635545196
1.3,0.029404383389583268
1.31,0.029831434500297654
1.32,0.0316693899197064
1.33,0.034885031746369116
1.34,0.039432993856520895
1.35,0.04531315035098828
1.36,0.05250744059413219
1.37,0.06057404418552248
1.3800000000000001,0.0685519429652374
1.3900000000000001,0.0764278289735878
1.4000000000000001,0.08417769533339481
1.41,0.09180264445208805
1.42,0.0993131646437263
1.43,0.10669965208718757
1.44,0.11395779981431571
1.45,0.12108401580757952
1.46,0.12805214887568322
1.47,0.13482772908707386
1.48,0.14141075644175147
1.49,0.14782231177933025
1.5,0.15406589248976876
1.51,0.1600938332301559
1.52,0.1659272970484737
1.53,0.1715995018461625
1.54,0.17711044762322228
1.55,0.18246835373620152
1.56,0.18771206798216378
1.57,0.1928448645404998
1.58,0.19786674341120958
1.59,0.20279904911630514
1.6,0.20768462020289574
1.61,0.21252345667098127
1.62,0.2173155585205618
1.6300000000000001,0.22204901628055188
1.6400000000000001,0.2267262272216822
1.6500000000000001,0.23134719134395287
1.6600000000000001,0.23590790227891892
1.67,0.24043312128490327
1.68,0.24492284836190598
1.69,0.24937708350992693
