Time,Altitude
0.0,1.9859590291727378
0.01,1.9840394200481866
0.02,1.9821684368682924
0.03,1.9803348582612115
0.04,1.9785306689613418
0.05,1.976749955555518
0.06,1.97482803343444
0.07,1.9727898217831523
0.08,1.9706547021900238
0.09,1.9684099188308868
0.1,1.9660711565028592
0.11,1.9619344936525873
0.12,1.9575286254983286
0.13,1.952853552040083
0.14,1.9478956489173977
0.15,1.942685949795956
0.16,1.9372403617526899
0.17,1.9316043245426258
0.18,1.9258514618473572
0.19,1.9200164699375204
0.2,1.9140900452679568
0.21,1.9079766673500729
0.22,1.9016754407808398
0.23,1.8951845965388006
0.24,1.8885041346239546
0.25,1.881628781141993
0.26,1.8746838551437832
0.27,1.8676718885516048
0.28,1.8606277416865722
0.29,1.85357806877292
0.3,1.846513518299473
0.31,1.8394074799341193
0.32,1.8323002239143196
0.33,1.8252558834268455
0.34,1.8183027091687176
0.35000000000000003,1.811461106050407
0.36,1.8046756857942796
0.37,1.7978859269776943
0.38,1.7911207087249277
0.39,1.7844225917716998
0.4,1.77779489590672
0.41000000000000003,1.7712004173774658
0.42,1.764611604859994
0.43,1.7580537319509144
0.44,1.7515735065119469
0.45,1.7451762291011916
0.46,1.7388711658011957
0.47000000000000003,1.7326592430700818
0.48,1.7265056005867354
0.49,1.7204173637550273
0.5,1.7144049308645575
0.51,1.708501041748704
0.52,1.7027152899968865
0.53,1.6969835424223334
0.54,1.6912755012410323
0.55,1.685567859920966
0.56,1.6799160067397694
0.5700000000000001,1.67436080885741
0.58,1.668872083224204
0.59,1.6634006914388924
0.6,1.657860677885828
0.61,1.6522892463175327
0.62,1.6468118895098556
0.63,1.6414072136283049
0.64,1.6360302473471477
0.65,1.63071563852063
0.66,1.6254570283186716
0.67,1.6202509583608695
0.68,1.6151144599711311
0.6900000000000001,1.6100496066256642
0.7000000000000001,1.6050561163138273
0.71,1.6001306986933368
0.72,1.595258967857127
0.73,1.5904399918357295
0.74,1.5856894420765886
0.75,1.5810389892399217
0.76,1.576519761006553
0.77,1.5721059718841295
0.78,1.567794849589465
0.79,1.563593310584817
0.8,1.5595709717709667
0.81,1.5557218528910277
0.8200000000000001,1.551948907896125
0.8300000000000001,1.5482500260455951
0.84,1.5445915708623246
0.85,1.5409350509807533
0.86,1.537280466400882
0.87,1.5336079224397134
0.88,1.5298940061421311
0.89,1.5261301260859519
0.9,1.5223554546432614
0.91,1.5185699918140603
0.92,1.514778529915996
0.93,1.5111143795141648
0.9400000000000001,1.5076152270780057
0.9500000000000001,1.5042727084793175
0.96,1.5010556960372765
0.97,1.4979641897518825
0.98,1.4949981896231355
0.99,1.4921576956510356
1.0,1.4894590465504487
1.01,1.4869082225782608
1.02,1.4845052237344718
1.03,1.482250050019082
1.04,1.4801746013732204
1.05,1.4782827213082002
1.06,1.4765744098240208
1.07,1.4750695616036795
1.08,1.4737745582783852
1.09,1.4726887923902436
1.1,1.4717730915671694
1.11,1.4710274558091623
1.12,1.470451885116222
1.1300000000000001,1.4699140008927203
1.1400000000000001,1.4693761166692185
1.1500000000000001,1.4688382324457168
1.16,1.4681737745998915
1.17,1.4672716219533364
1.18,1.4661392639625037
1.19,1.464803565845407
1.2,1.4632645276020466
